Model,Seed,acc,weight_F1
cmcm,1111,65.48,62.95
cmcm,2222,64.14,62.6
cmcm,3333,60.69,56.47
cmcm,4444,44.1,39.55
cmcm,5555,66.17,64.55
cmcm,1111,57.74,53.03
cmcm,2222,62.53,60.09
cmcm,3333,57.2,53.6
cmcm,4444,63.79,61.66
cmcm,5555,64.21,62.53
cmcm,1111,61.23,58.5
cmcm,2222,64.52,61.88
cmcm,3333,57.36,54.58
cmcm,4444,64.67,63.41
cmcm,5555,65.02,63.7
cmcm,1111,64.71,63.01
cmcm,2222,61.38,59.22
cmcm,3333,62.76,61.03
cmcm,1111,65.98,64.76
cmcm,2222,65.33,63.94
cmcm,3333,64.9,62.64
cmcm,4444,63.95,62.4
cmcm,5555,65.52,64.57
cmcm,1111,65.98,64.76
cmcm,2222,65.33,63.94
cmcm,3333,64.9,62.64
cmcm,4444,63.95,62.4
cmcm,5555,65.52,64.57
