Model,Seed,Mult_acc_2,Mult_acc_2_weak,Mult_acc_3,Mult_acc_5,F1_score,MAE,Corr,R_squre
cmcm,1111,73.21,67.29,63.54,46.52,72.78,42.59,46.23,-11.8
cmcm,2222,71.95,63.56,65.76,44.87,72.0,43.68,46.5,-7.46
cmcm,3333,71.47,66.46,63.93,46.03,71.55,44.29,43.97,-18.07
cmcm,4444,73.02,68.53,61.99,43.91,72.44,41.3,47.27,-0.99
cmcm,5555,72.92,68.53,63.64,47.2,72.7,42.65,45.32,-11.05
cmcm,1111,73.79,66.67,67.99,46.42,73.37,37.78,54.91,14.11
cmcm,2222,77.37,70.81,69.73,47.68,77.43,37.66,56.9,16.79
cmcm,3333,75.73,69.15,69.15,47.78,75.83,39.28,53.68,9.65
cmcm,4444,77.85,70.39,70.99,48.36,77.93,35.88,60.34,22.81
cmcm,5555,72.92,66.05,65.38,44.29,72.63,40.37,50.61,4.49
